Segment Length,SegmentLevel,SegmentActionType,MonthOfSubmission,YearOfSubmission,CityIndicator,ORI,IncidentNumber,IncidentDate,ReportDateIndicator,IncidentHour,ExceptionalClearanceCode,ExceptionalClearanceDate,CargoTheftIndicator,UCROffenseCode,OffenseAttemptedIndicator,OffenderSuspectedOfUsingCode,LocationType,NumberOfPremisesEntered,MethodOfEntry,TypeCriminalActivityGangInformation,TypeOfWeaponForceInvolved,AutomaticWeaponIndicator,BiasMotivation,TypePropertyLoss,PropertyDescription,ValueOfProperty,DateRecovered,NumberOfStolenMotorVehicles,NumberOfRecoveredMotorVehicles,SuspectedDrugType,EstimatedDrugQuantity,TypeDrugMeasurement,VictimSequenceNumber,VictimConnectedToUCROffense,TypeOfVictim,AgeOfVictim,SexOfVictim,RaceOfVictim,EthnicityOfVictim,ResidentStatusOfVictim,VictimAggravatedAssaultHomicideCircumstance,VictimJustifiableHomicideCircumstance,VictimInjuryType,OffenderNumberToBeRelated,RelationshipOfVictimToOffender,TypeOfOfficerActivity,OfficerAssignmentType,OfficerORIOtherJurisdiction,OffenderSequenceNumber,AgeOfOffender,SexOfOffender,RaceOfOffender,EthnicityOfOffender,ArresteeSequenceNumber,ArrestTransactionNumber,ArrestDate,TypeOfArrest,MultipleArresteeSegmentsIndicator,UCRArrestOffenseCode,ArresteeArmedWithCode,AgeOfArrestee,SexOfArrestee,RaceOfArrestee,EthnicityOfArrestee,ResidentStatusOfArrestee,DispositionOfArresteeUnder18
NA,1,I,NA,NA,NA,WVNDX0100,000054236732,20160219,false,10,A,20160225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2,I,NA,NA,NA,WVNDX0100,000054236732,NA,NA,NA,NA,NA,NA,13A,C,N,16,1,NA,N,11A,A,NONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2,I,NA,NA,NA,WVNDX0100,000054236732,NA,NA,NA,NA,NA,NA,13A,C,N,16,1,NA,N,11A,A,ANTIFEMALE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2,I,NA,NA,NA,WVNDX0100,000054236732,NA,NA,NA,NA,NA,NA,510,A,N,17,0,NA,N,11A,A,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,3,I,NA,NA,NA,WVNDX0100,000054236732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,3,I,NA,NA,NA,WVNDX0100,000054236732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,01,12000,20160224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,3,I,NA,NA,NA,WVNDX0100,000054236732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,01,12000,20160224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,3,I,NA,NA,NA,WVNDX0100,000054236732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,01,12000,20160224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,3,I,NA,NA,NA,WVNDX0100,000054236732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,01,12000,20160224,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,3,I,NA,NA,NA,WVNDX0100,000054236732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10,12000,20160224,NA,NA,H,1.5,GM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
